Serial_number:
2003905
Project ID:

Location:
Conness Creek Barologger
BAROMETRIC PRESSURE
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BAROMETRIC PRESSURE,TEMPERATURE
7/24/2020,08:43:12 pm,0,95.6783,22.087
7/24/2020,09:13:12 pm,0,95.7285,22.030
7/24/2020,09:43:12 pm,0,95.7894,21.973
7/24/2020,10:13:12 pm,0,95.8122,21.916
7/24/2020,10:43:12 pm,0,95.8727,21.864
7/24/2020,11:13:12 pm,0,95.8964,21.811
7/24/2020,11:43:12 pm,0,95.9468,21.811
7/25/2020,12:13:12 am,0,95.9797,21.778
7/25/2020,12:43:12 am,0,96.0005,21.731
7/25/2020,01:13:12 am,0,96.0204,21.691
7/25/2020,01:43:12 am,0,96.0204,21.658
7/25/2020,02:13:12 am,0,95.9955,21.633
7/25/2020,02:43:12 am,0,95.9972,21.632
7/25/2020,03:13:12 am,0,96.0172,21.678
7/25/2020,03:43:12 am,0,96.0126,21.685
7/25/2020,04:13:12 am,0,95.9900,21.689
7/25/2020,04:43:12 am,0,96.0263,21.696
7/25/2020,05:13:12 am,0,76.5608,8.922
7/25/2020,05:43:12 am,0,76.5694,8.456
7/25/2020,06:13:12 am,0,76.5778,8.268
7/25/2020,06:43:12 am,0,76.5832,7.834
7/25/2020,07:13:12 am,0,76.5835,7.682
7/25/2020,07:43:12 am,0,76.5857,7.396
7/25/2020,08:13:12 am,0,76.5784,7.055
7/25/2020,08:43:12 am,0,76.5814,6.917
7/25/2020,09:13:12 am,0,76.5717,6.588
7/25/2020,09:43:12 am,0,76.5594,6.573
7/25/2020,10:13:12 am,0,76.5464,6.158
7/25/2020,10:43:12 am,0,76.5413,6.206
7/25/2020,11:13:12 am,0,76.5405,5.859
7/25/2020,11:43:12 am,0,76.5477,5.638
7/25/2020,12:13:12 pm,0,76.5518,5.251
7/25/2020,12:43:12 pm,0,76.5568,5.096
7/25/2020,01:13:12 pm,0,76.5751,5.041
7/25/2020,01:43:12 pm,0,76.5674,5.414
7/25/2020,02:13:12 pm,0,76.5589,7.447
7/25/2020,02:43:12 pm,0,76.5669,9.420
7/25/2020,03:13:12 pm,0,76.5652,10.800
7/25/2020,03:43:12 pm,0,76.5430,11.376
7/25/2020,04:13:12 pm,0,76.5210,12.535
7/25/2020,04:43:12 pm,0,76.5135,15.082
7/25/2020,05:13:12 pm,0,76.5320,17.422
7/25/2020,05:43:12 pm,0,76.5252,18.826
7/25/2020,06:13:12 pm,0,76.5406,19.178
7/25/2020,06:43:12 pm,0,76.5243,21.828
7/25/2020,07:13:12 pm,0,76.5159,21.845
7/25/2020,07:43:12 pm,0,76.5212,22.347
7/25/2020,08:13:12 pm,0,76.5284,22.078
