Serial_number:   
2004212   
Project ID:   
L2004212   
Location:   
Lyell_Fk_abv_Twin_Br_Stilling_Tu
LEVEL   
UNIT: cm   
Offset: 0.000000 cm   
TEMPERATURE   
UNIT: °C   
Date,Time,ms,LEVEL (cm),TEMPERATURE 
7/27/2018,8:00:00 PM,0,810.18,12.246 
7/27/2018,8:30:00 PM,0,810.15,12.563 
7/27/2018,9:00:00 PM,0,810.13,12.854 
7/27/2018,9:30:00 PM,0,809.97,13.104 
7/27/2018,10:00:00 PM,0,809.59,13.282 
7/27/2018,10:30:00 PM,0,809.39,13.517 
7/27/2018,11:00:00 PM,0,809.1,13.709 
7/27/2018,11:30:00 PM,0,808.73,13.768 
7/28/2018,12:00:00 AM,0,808.63,13.803 
7/28/2018,12:30:00 AM,0,808.28,13.815 
7/28/2018,1:00:00 AM,0,808.03,13.843 
7/28/2018,1:30:00 AM,0,807.93,13.803 
7/28/2018,2:00:00 AM,0,807.8,13.771 
7/28/2018,2:30:00 AM,0,807.81,13.756 
7/28/2018,3:00:00 AM,0,807.82,13.725 
7/28/2018,3:30:00 AM,0,807.85,13.685 
7/28/2018,4:00:00 AM,0,807.97,13.635 
7/28/2018,4:30:00 AM,0,807.93,13.625 
7/28/2018,5:00:00 AM,0,807.89,13.595 
7/28/2018,5:30:00 AM,0,807.7,13.571 
7/28/2018,6:00:00 AM,0,807.6,13.54 
7/28/2018,6:30:00 AM,0,807.42,13.5 
7/28/2018,7:00:00 AM,0,807.33,13.441 
7/28/2018,7:30:00 AM,0,807.36,13.403 
7/28/2018,8:00:00 AM,0,807.13,13.364 
7/28/2018,8:30:00 AM,0,807.16,13.296 
7/28/2018,9:00:00 AM,0,807.14,13.245 
7/28/2018,9:30:00 AM,0,807.06,13.169 
7/28/2018,10:00:00 AM,0,807.11,13.046 
7/28/2018,10:30:00 AM,0,807.31,12.887 
7/28/2018,11:00:00 AM,0,807.5,12.725 
7/28/2018,11:30:00 AM,0,807.58,12.527 
7/28/2018,12:00:00 PM,0,807.59,12.37 
7/28/2018,12:30:00 PM,0,807.57,12.203 
7/28/2018,1:00:00 PM,0,807.85,12.001 
7/28/2018,1:30:00 PM,0,807.97,11.837 
7/28/2018,2:00:00 PM,0,808.22,11.713 
7/28/2018,2:30:00 PM,0,808.24,11.655 
7/28/2018,3:00:00 PM,0,808.18,11.599 
7/28/2018,3:30:00 PM,0,808.14,11.601 
7/28/2018,4:00:00 PM,0,808.06,11.635 
7/28/2018,4:30:00 PM,0,807.95,11.703 
7/28/2018,5:00:00 PM,0,807.84,11.78 
7/28/2018,5:30:00 PM,0,807.85,11.875 
7/28/2018,6:00:00 PM,0,807.8,11.994 
7/28/2018,6:30:00 PM,0,807.95,12.147 
7/28/2018,7:00:00 PM,0,807.72,12.37 
7/28/2018,7:30:00 PM,0,807.84,12.625 
7/28/2018,8:00:00 PM,0,807.94,12.903 
7/28/2018,8:30:00 PM,0,807.93,13.201 
7/28/2018,9:00:00 PM,0,807.8,13.429 
7/28/2018,9:30:00 PM,0,807.75,13.702 
7/28/2018,10:00:00 PM,0,807.66,13.868 
7/28/2018,10:30:00 PM,0,807.7,14.048 
7/28/2018,11:00:00 PM,0,807.61,14.217 
7/28/2018,11:30:00 PM,0,807.35,14.264 
7/29/2018,12:00:00 AM,0,807.18,14.218 
7/29/2018,12:30:00 AM,0,806.98,14.206 
7/29/2018,1:00:00 AM,0,806.84,14.152 
7/29/2018,1:30:00 AM,0,806.76,14.132 
7/29/2018,2:00:00 AM,0,806.7,14.11 
7/29/2018,2:30:00 AM,0,806.74,14.081 
7/29/2018,3:00:00 AM,0,806.73,14.061 
7/29/2018,3:30:00 AM,0,806.68,14.027 
7/29/2018,4:00:00 AM,0,806.67,14.012 
7/29/2018,4:30:00 AM,0,806.82,13.969 
7/29/2018,5:00:00 AM,0,806.86,13.947 
7/29/2018,5:30:00 AM,0,806.78,13.915 
7/29/2018,6:00:00 AM,0,806.66,13.866 
7/29/2018,6:30:00 AM,0,806.65,13.819 
7/29/2018,7:00:00 AM,0,806.59,13.783 
7/29/2018,7:30:00 AM,0,806.67,13.743 
7/29/2018,8:00:00 AM,0,806.65,13.691 
7/29/2018,8:30:00 AM,0,806.65,13.634 
7/29/2018,9:00:00 AM,0,806.7,13.582 
7/29/2018,9:30:00 AM,0,806.67,13.518 
7/29/2018,10:00:00 AM,0,806.82,13.434 
7/29/2018,10:30:00 AM,0,806.91,13.302 
7/29/2018,11:00:00 AM,0,806.85,13.127 
7/29/2018,11:30:00 AM,0,806.89,12.928 
7/29/2018,12:00:00 PM,0,806.99,12.747 
7/29/2018,12:30:00 PM,0,807.2,12.573 
7/29/2018,1:00:00 PM,0,807.37,12.412 
7/29/2018,1:30:00 PM,0,807.52,12.251 
7/29/2018,2:00:00 PM,0,807.71,12.132 
7/29/2018,2:30:00 PM,0,807.59,12.016 
7/29/2018,3:00:00 PM,0,807.63,11.94 
7/29/2018,3:30:00 PM,0,807.51,11.918 
7/29/2018,4:00:00 PM,0,807.4,11.943 
7/29/2018,4:30:00 PM,0,807.5,11.988 
7/29/2018,5:00:00 PM,0,807.5,12.053 
