"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk082114.CR8","42213","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-06-01 00:00:00",225771,12.88,1.367,8.61,0.9,1.508,0.14
"2021-06-01 00:15:00",225772,12.86,1.366,8.42,0.9,1.507,0.14
"2021-06-01 00:30:00",225773,12.86,1.376,8.23,0.9,1.517,0.14
"2021-06-01 00:45:00",225774,12.85,1.364,8.07,0.9,1.504,0.14
"2021-06-01 01:00:00",225775,12.84,1.366,7.903,0.9,1.506,0.14
"2021-06-01 01:15:00",225776,12.82,1.362,7.744,0.9,1.503,0.14
"2021-06-01 01:30:00",225777,12.82,1.355,7.593,0.9,1.495,0.14
"2021-06-01 01:45:00",225778,12.8,1.357,7.444,0.9,1.497,0.14
"2021-06-01 02:00:00",225779,12.79,1.355,7.301,0.9,1.496,0.14
"2021-06-01 02:15:00",225780,12.78,1.35,7.171,0.9,1.49,0.14
"2021-06-01 02:30:00",225781,12.77,1.348,7.045,0.9,1.488,0.14
"2021-06-01 02:45:00",225782,12.76,1.342,6.922,0.9,1.482,0.14
"2021-06-01 03:00:00",225783,12.75,1.338,6.805,0.9,1.478,0.14
"2021-06-01 03:15:00",225784,12.74,1.34,6.698,0.9,1.48,0.14
"2021-06-01 03:30:00",225785,12.73,1.335,6.585,0.9,1.476,0.14
"2021-06-01 03:45:00",225786,12.72,1.33,6.483,0.9,1.471,0.14
"2021-06-01 04:00:00",225787,12.71,1.326,6.385,0.9,1.466,0.14
"2021-06-01 04:15:00",225788,12.7,1.322,6.293,0.9,1.462,0.14
"2021-06-01 04:30:00",225789,12.69,1.327,6.199,0.9,1.468,0.14
"2021-06-01 04:45:00",225790,12.68,1.328,6.113,0.9,1.468,0.14
"2021-06-01 05:00:00",225791,12.67,1.321,6.026,0.9,1.461,0.14
"2021-06-01 05:15:00",225792,12.67,1.317,5.936,0.9,1.457,0.14
"2021-06-01 05:30:00",225793,12.66,1.316,5.851,0.9,1.456,0.14
"2021-06-01 05:45:00",225794,12.65,1.309,5.767,0.9,1.45,0.14
"2021-06-01 06:00:00",225795,12.65,1.31,5.686,0.9,1.451,0.14
"2021-06-01 06:15:00",225796,12.63,1.312,5.612,0.9,1.453,0.14
"2021-06-01 06:30:00",225797,12.62,1.308,5.548,0.9,1.449,0.14
"2021-06-01 06:45:00",225798,12.62,1.307,5.487,0.9,1.447,0.14
"2021-06-01 07:00:00",225799,12.61,1.298,5.438,0.9,1.438,0.14
"2021-06-01 07:15:00",225800,12.62,1.293,5.402,0.9,1.434,0.14
"2021-06-01 07:30:00",225801,12.66,1.293,5.378,0.9,1.433,0.14
"2021-06-01 07:45:00",225802,12.74,1.285,5.374,0.9,1.425,0.14
"2021-06-01 08:00:00",225803,12.85,1.292,5.39,0.9,1.432,0.14
"2021-06-01 08:15:00",225804,12.97,1.287,5.426,0.9,1.427,0.14
"2021-06-01 08:30:00",225805,13.13,1.282,5.484,0.9,1.422,0.14
"2021-06-01 08:45:00",225806,13.33,1.284,5.562,0.9,1.424,0.14
"2021-06-01 09:00:00",225807,13.52,1.28,5.66,0.9,1.421,0.14
"2021-06-01 09:15:00",225808,13.5,1.278,5.779,0.9,1.419,0.14
"2021-06-01 09:30:00",225809,13.47,1.272,5.922,0.9,1.412,0.14
"2021-06-01 09:45:00",225810,13.44,1.281,6.092,0.9,1.422,0.14
"2021-06-01 10:00:00",225811,13.43,1.276,6.307,0.9,1.417,0.14
"2021-06-01 10:15:00",225812,13.41,1.267,6.526,0.9,1.407,0.14
"2021-06-01 10:30:00",225813,13.38,1.27,6.78,0.9,1.41,0.14
"2021-06-01 10:45:00",225814,13.36,1.266,7.066,0.9,1.406,0.14
"2021-06-01 11:00:00",225815,13.35,1.27,7.375,0.9,1.41,0.14
"2021-06-01 11:15:00",225816,13.35,1.263,7.695,0.9,1.403,0.14
