"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-09-15 08:45:00",235982,12.58,0.481,8.94,1,0.731,0.25
"2021-09-15 09:00:00",235983,12.58,0.481,8.94,1,0.73,0.25
"2021-09-15 09:15:00",235984,12.58,0.481,9.04,1,0.731,0.25
"2021-09-15 09:30:00",235985,12.57,0.481,9.21,1,0.731,0.25
"2021-09-15 09:45:00",235986,12.56,0.482,9.36,1,0.731,0.25
"2021-09-15 10:00:00",235987,12.56,0.482,9.52,1,0.732,0.25
"2021-09-15 10:15:00",235988,12.55,0.482,9.63,1,0.731,0.25
"2021-09-15 10:30:00",235989,12.55,0.481,9.67,1,0.731,0.25
"2021-09-15 10:45:00",235990,12.55,0.483,9.76,1,0.733,0.25
"2021-09-15 11:00:00",235991,12.55,0.482,9.9,1,0.732,0.25
"2021-09-15 11:15:00",235992,12.54,0.483,10.05,1,0.733,0.25
"2021-09-15 11:30:00",235993,12.55,0.483,10.23,1,0.733,0.25
"2021-09-15 11:45:00",235994,12.55,0.484,10.42,1,0.734,0.25
"2021-09-15 12:00:00",235995,12.55,0.486,10.65,1,0.736,0.25
"2021-09-15 12:15:00",235996,12.55,0.489,11,1,0.739,0.25
"2021-09-15 12:30:00",235997,12.56,0.493,11.27,1,0.743,0.25
"2021-09-15 12:45:00",235998,12.56,0.492,11.53,1,0.742,0.25
"2021-09-15 13:00:00",235999,12.57,0.494,11.71,1,0.744,0.25
"2021-09-15 13:15:00",236000,12.58,0.495,11.94,1,0.745,0.25
"2021-09-15 13:30:00",236001,12.58,0.497,12.22,1,0.746,0.25
"2021-09-15 13:45:00",236002,12.59,0.498,12.48,1,0.747,0.25
"2021-09-15 14:00:00",236003,12.59,0.496,12.71,1,0.746,0.25
"2021-09-15 14:15:00",236004,12.6,0.499,12.96,1,0.749,0.25
"2021-09-15 14:30:00",236005,12.6,0.495,13.09,1,0.745,0.25
"2021-09-15 14:45:00",236006,12.6,0.498,13.17,1,0.748,0.25
"2021-09-15 15:00:00",236007,12.61,0.498,13.36,1,0.748,0.25
"2021-09-15 15:15:00",236008,12.62,0.498,13.51,1,0.747,0.25
"2021-09-15 15:30:00",236009,12.62,0.498,13.67,1,0.748,0.25
"2021-09-15 15:45:00",236010,12.62,0.499,13.82,1,0.749,0.25
"2021-09-15 16:00:00",236011,12.62,0.5,13.98,1,0.75,0.25
"2021-09-15 16:15:00",236012,12.63,0.5,14.08,1,0.75,0.25
"2021-09-15 16:30:00",236013,12.63,0.5,14.16,1,0.75,0.25
"2021-09-15 16:45:00",236014,12.63,0.501,14.23,1,0.75,0.25
"2021-09-15 17:00:00",236015,12.63,0.501,14.29,1,0.75,0.25
"2021-09-15 17:15:00",236016,12.63,0.502,14.35,1,0.751,0.25
"2021-09-15 17:30:00",236017,12.63,0.5,14.41,1,0.75,0.25
"2021-09-15 17:45:00",236018,12.63,0.499,14.46,1,0.748,0.25
"2021-09-15 18:00:00",236019,12.63,0.497,14.48,1,0.746,0.25
"2021-09-15 18:15:00",236020,12.63,0.495,14.48,1,0.745,0.25
"2021-09-15 18:30:00",236021,12.63,0.495,14.43,1,0.745,0.25
"2021-09-15 18:45:00",236022,12.63,0.495,14.41,1,0.745,0.25
"2021-09-15 19:00:00",236023,12.63,0.495,14.38,1,0.745,0.25
"2021-09-15 19:15:00",236024,12.63,0.495,14.32,1,0.745,0.25
"2021-09-15 19:30:00",236025,12.62,0.495,14.25,1,0.744,0.25
"2021-09-15 19:45:00",236026,12.62,0.495,14.18,1,0.745,0.25
"2021-09-15 20:00:00",236027,12.62,0.496,14.1,1,0.745,0.25
"2021-09-15 20:15:00",236028,12.62,0.497,14,1,0.746,0.25
"2021-09-15 20:30:00",236029,12.62,0.499,13.9,1,0.749,0.25
"2021-09-15 20:45:00",236030,12.62,0.501,13.79,1,0.751,0.25
