"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-25 16:15:00",233996,13.24,0.557,15.71,1,0.807,0.25
"2021-08-25 16:30:00",233997,13.26,0.557,15.76,1,0.807,0.25
"2021-08-25 16:45:00",233998,13.27,0.557,15.79,1,0.807,0.25
"2021-08-25 17:00:00",233999,13.28,0.556,15.77,1,0.805,0.25
"2021-08-25 17:15:00",234000,13.29,0.555,15.74,1,0.805,0.25
"2021-08-25 17:30:00",234001,13.3,0.555,15.67,1,0.804,0.25
"2021-08-25 17:45:00",234002,13.29,0.556,15.61,1,0.806,0.25
"2021-08-25 18:00:00",234003,13.25,0.554,15.52,1,0.804,0.25
"2021-08-25 18:15:00",234004,13.23,0.553,15.38,1,0.803,0.25
"2021-08-25 18:30:00",234005,13.21,0.554,15.25,1,0.804,0.25
"2021-08-25 18:45:00",234006,13.18,0.553,15.1,1,0.803,0.25
"2021-08-25 19:00:00",234007,13.16,0.553,14.9,1,0.802,0.25
"2021-08-25 19:15:00",234008,13.15,0.552,14.73,1,0.802,0.25
"2021-08-25 19:30:00",234009,13.13,0.552,14.51,1,0.802,0.25
"2021-08-25 19:45:00",234010,13.11,0.551,14.32,1,0.801,0.25
"2021-08-25 20:00:00",234011,13.09,0.551,14.12,1,0.801,0.25
"2021-08-25 20:15:00",234012,13.08,0.551,13.93,1,0.801,0.25
"2021-08-25 20:30:00",234013,13.07,0.55,13.75,1,0.799,0.25
"2021-08-25 20:45:00",234014,13.05,0.55,13.58,1,0.799,0.25
"2021-08-25 21:00:00",234015,13.04,0.55,13.41,1,0.799,0.25
"2021-08-25 21:15:00",234016,13.02,0.549,13.23,1,0.799,0.25
"2021-08-25 21:30:00",234017,13.01,0.548,13.06,1,0.798,0.25
"2021-08-25 21:45:00",234018,13,0.547,12.91,1,0.797,0.25
"2021-08-25 22:00:00",234019,12.99,0.547,12.75,1,0.797,0.25
"2021-08-25 22:15:00",234020,12.97,0.546,12.6,1,0.796,0.25
"2021-08-25 22:30:00",234021,12.96,0.546,12.45,1,0.796,0.25
"2021-08-25 22:45:00",234022,12.95,0.545,12.31,1,0.795,0.25
"2021-08-25 23:00:00",234023,12.94,0.544,12.16,1,0.794,0.25
"2021-08-25 23:15:00",234024,12.92,0.542,12.03,1,0.791,0.25
"2021-08-25 23:30:00",234025,12.91,0.54,11.88,1,0.789,0.25
"2021-08-25 23:45:00",234026,12.9,0.538,11.76,1,0.788,0.25
"2021-08-26 00:00:00",234027,12.89,0.537,11.63,1,0.787,0.25
"2021-08-26 00:15:00",234028,12.88,0.537,11.51,1,0.786,0.25
"2021-08-26 00:30:00",234029,12.86,0.536,11.38,1,0.786,0.25
"2021-08-26 00:45:00",234030,12.85,0.535,11.27,1,0.785,0.25
"2021-08-26 01:00:00",234031,12.84,0.534,11.16,1,0.784,0.25
"2021-08-26 01:15:00",234032,12.84,0.534,11.05,1,0.783,0.25
"2021-08-26 01:30:00",234033,12.82,0.533,10.94,1,0.783,0.25
"2021-08-26 01:45:00",234034,12.81,0.532,10.84,1,0.782,0.25
"2021-08-26 02:00:00",234035,12.8,0.532,10.74,1,0.782,0.25
"2021-08-26 02:15:00",234036,12.79,0.531,10.64,1,0.78,0.25
"2021-08-26 02:30:00",234037,12.78,0.531,10.54,1,0.781,0.25
"2021-08-26 02:45:00",234038,12.77,0.532,10.43,1,0.781,0.25
"2021-08-26 03:00:00",234039,12.75,0.533,10.34,1,0.783,0.25
"2021-08-26 03:15:00",234040,12.74,0.534,10.24,1,0.784,0.25
"2021-08-26 03:30:00",234041,12.73,0.534,10.14,1,0.784,0.25
"2021-08-26 03:45:00",234042,12.72,0.534,10.04,1,0.784,0.25
"2021-08-26 04:00:00",234043,12.71,0.534,9.94,1,0.784,0.25
"2021-08-26 04:15:00",234044,12.7,0.533,9.84,1,0.783,0.25
