"TOA5","DanaBug","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-07-12 12:15:00",229756,13.22,0.737,17.26,1,0.986,0.25
"2021-07-12 12:30:00",229757,13.21,0.736,17.53,1,0.986,0.25
"2021-07-12 12:45:00",229758,13.2,0.74,17.81,1,0.989,0.25
"2021-07-12 13:00:00",229759,13.19,0.737,18.09,1,0.987,0.25
"2021-07-12 13:15:00",229760,13.19,0.737,18.33,1,0.987,0.25
"2021-07-12 13:30:00",229761,13.19,0.736,18.57,1,0.986,0.25
"2021-07-12 13:45:00",229762,13.18,0.736,18.82,1,0.985,0.25
"2021-07-12 14:00:00",229763,13.18,0.734,19.06,1,0.983,0.25
"2021-07-12 14:15:00",229764,13.18,0.733,19.29,1,0.982,0.25
"2021-07-12 14:30:00",229765,13.17,0.734,19.52,1,0.984,0.25
"2021-07-12 14:45:00",229766,13.17,0.731,19.71,1,0.981,0.25
"2021-07-12 15:00:00",229767,13.15,0.733,19.88,1,0.982,0.25
"2021-07-12 15:15:00",229768,13.15,0.727,20.02,1,0.977,0.25
"2021-07-12 15:30:00",229769,13.15,0.731,20.15,1,0.98,0.25
"2021-07-12 15:45:00",229770,13.15,0.729,20.24,1,0.979,0.25
"2021-07-12 16:00:00",229771,13.15,0.729,20.32,1,0.979,0.25
"2021-07-12 16:15:00",229772,13.14,0.725,20.36,1,0.975,0.25
"2021-07-12 16:30:00",229773,13.14,0.726,20.35,1,0.976,0.25
"2021-07-12 16:45:00",229774,13.13,0.724,20.35,1,0.974,0.25
"2021-07-12 17:00:00",229775,13.13,0.724,20.32,1,0.973,0.25
"2021-07-12 17:15:00",229776,13.14,0.721,20.27,1,0.971,0.25
"2021-07-12 17:30:00",229777,13.15,0.722,20.21,1,0.971,0.25
"2021-07-12 17:45:00",229778,13.16,0.72,20.15,1,0.97,0.25
"2021-07-12 18:00:00",229779,13.17,0.718,20.08,1,0.968,0.25
"2021-07-12 18:15:00",229780,13.15,0.718,19.99,1,0.967,0.25
"2021-07-12 18:30:00",229781,13.12,0.716,19.89,1,0.966,0.25
"2021-07-12 18:45:00",229782,13.1,0.714,19.8,1,0.964,0.25
"2021-07-12 19:00:00",229783,13.07,0.713,19.71,1,0.963,0.25
"2021-07-12 19:15:00",229784,13.05,0.713,19.62,1,0.963,0.25
"2021-07-12 19:30:00",229785,13.03,0.712,19.52,1,0.962,0.25
"2021-07-12 19:45:00",229786,13.01,0.711,19.44,1,0.96,0.25
"2021-07-12 20:00:00",229787,12.99,0.71,19.36,1,0.959,0.25
"2021-07-12 20:15:00",229788,12.98,0.708,19.28,1,0.958,0.25
"2021-07-12 20:30:00",229789,12.96,0.709,19.19,1,0.959,0.25
"2021-07-12 20:45:00",229790,12.94,0.707,19.1,1,0.957,0.25
"2021-07-12 21:00:00",229791,12.93,0.707,19.01,1,0.957,0.25
"2021-07-12 21:15:00",229792,12.92,0.706,18.91,1,0.956,0.25
"2021-07-12 21:30:00",229793,12.9,0.705,18.8,1,0.954,0.25
"2021-07-12 21:45:00",229794,12.89,0.706,18.69,1,0.956,0.25
"2021-07-12 22:00:00",229795,12.88,0.704,18.58,1,0.954,0.25
"2021-07-12 22:15:00",229796,12.87,0.704,18.48,1,0.954,0.25
"2021-07-12 22:30:00",229797,12.85,0.704,18.36,1,0.954,0.25
"2021-07-12 22:45:00",229798,12.84,0.705,18.26,1,0.955,0.25
"2021-07-12 23:00:00",229799,12.83,0.705,18.15,1,0.955,0.25
"2021-07-12 23:15:00",229800,12.82,0.704,18.03,1,0.954,0.25
"2021-07-12 23:30:00",229801,12.81,0.703,17.91,1,0.953,0.25
"2021-07-12 23:45:00",229802,12.79,0.704,17.79,1,0.954,0.25
"2021-07-13 00:00:00",229803,12.79,0.703,17.67,1,0.953,0.25
"2021-07-13 00:15:00",229804,12.77,0.704,17.55,1,0.953,0.25
"2021-07-13 00:30:00",229805,12.76,0.703,17.42,1,0.953,0.25
"2021-07-13 00:45:00",229806,12.75,0.704,17.3,1,0.953,0.25
"2021-07-13 01:00:00",229807,12.74,0.705,17.17,1,0.955,0.25
"2021-07-13 01:15:00",229808,12.73,0.705,17.04,1,0.954,0.25
"2021-07-13 01:30:00",229809,12.72,0.705,16.92,1,0.955,0.25
"2021-07-13 01:45:00",229810,12.71,0.707,16.79,1,0.956,0.25
"2021-07-13 02:00:00",229811,12.7,0.707,16.67,1,0.957,0.25
"2021-07-13 02:15:00",229812,12.69,0.706,16.55,1,0.955,0.25
"2021-07-13 02:30:00",229813,12.69,0.708,16.43,1,0.958,0.25
"2021-07-13 02:45:00",229814,12.68,0.711,16.32,1,0.961,0.25
"2021-07-13 03:00:00",229815,12.66,0.71,16.2,1,0.96,0.25
"2021-07-13 03:15:00",229816,12.66,0.71,16.08,1,0.96,0.25
"2021-07-13 03:30:00",229817,12.65,0.712,15.97,1,0.961,0.25
"2021-07-13 03:45:00",229818,12.64,0.713,15.86,1,0.962,0.25
"2021-07-13 04:00:00",229819,12.64,0.713,15.76,1,0.962,0.25
"2021-07-13 04:15:00",229820,12.63,0.715,15.65,1,0.964,0.25
"2021-07-13 04:30:00",229821,12.62,0.714,15.54,1,0.964,0.25
"2021-07-13 04:45:00",229822,12.62,0.713,15.44,1,0.963,0.25
"2021-07-13 05:00:00",229823,12.61,0.715,15.33,1,0.965,0.25
"2021-07-13 05:15:00",229824,12.6,0.716,15.23,1,0.966,0.25
"2021-07-13 05:30:00",229825,12.59,0.715,15.12,1,0.965,0.25
"2021-07-13 05:45:00",229826,12.59,0.716,15.03,1,0.966,0.25
"2021-07-13 06:00:00",229827,12.58,0.718,14.93,1,0.968,0.25
"2021-07-13 06:15:00",229828,12.58,0.716,14.84,1,0.965,0.25
"2021-07-13 06:30:00",229829,12.57,0.717,14.75,1,0.967,0.25
"2021-07-13 06:45:00",229830,12.57,0.718,14.66,1,0.967,0.25
"2021-07-13 07:00:00",229831,12.57,0.719,14.58,1,0.968,0.25
"2021-07-13 07:15:00",229832,12.57,0.719,14.5,1,0.969,0.25
"2021-07-13 07:30:00",229833,12.58,0.719,14.44,1,0.969,0.25
"2021-07-13 07:45:00",229834,12.62,0.719,14.39,1,0.968,0.25
"2021-07-13 08:00:00",229835,12.66,0.72,14.35,1,0.969,0.25
"2021-07-13 08:15:00",229836,12.75,0.721,14.34,1,0.97,0.25
"2021-07-13 08:30:00",229837,12.86,0.719,14.36,1,0.969,0.25
"2021-07-13 08:45:00",229838,12.99,0.721,14.42,1,0.971,0.25
"2021-07-13 09:00:00",229839,13.16,0.72,14.5,1,0.97,0.25
"2021-07-13 09:15:00",229840,13.36,0.721,14.63,1,0.971,0.25
"2021-07-13 09:30:00",229841,13.34,0.721,14.78,1,0.971,0.25
"2021-07-13 09:45:00",229842,13.33,0.721,14.98,1,0.971,0.25
"2021-07-13 10:00:00",229843,13.31,0.72,15.22,1,0.97,0.25
"2021-07-13 10:15:00",229844,13.31,0.72,15.36,1,0.97,0.25
"2021-07-13 10:30:00",229845,13.3,0.722,15.47,1,0.971,0.25
"2021-07-13 10:45:00",229846,13.29,0.721,15.6,1,0.971,0.25
"2021-07-13 11:00:00",229847,13.28,0.722,15.74,1,0.971,0.25
"2021-07-13 11:15:00",229848,13.27,0.721,15.89,1,0.971,0.25
"2021-07-13 11:30:00",229849,13.27,0.718,16.02,1,0.967,0.25
"2021-07-13 11:45:00",229850,13.26,0.72,16.15,1,0.969,0.25
"2021-07-13 12:00:00",229851,13.26,0.719,16.41,1,0.969,0.25
"2021-07-13 12:15:00",229852,13.24,0.721,16.68,1,0.971,0.25
"2021-07-13 12:30:00",229853,13.24,0.719,16.98,1,0.969,0.25
"2021-07-13 12:45:00",229854,13.23,0.718,17.29,1,0.968,0.25
"2021-07-13 13:00:00",229855,13.22,0.718,17.62,1,0.968,0.25
"2021-07-13 13:15:00",229856,13.22,0.718,17.92,1,0.967,0.25
"2021-07-13 13:30:00",229857,13.22,0.716,18.22,1,0.966,0.25
"2021-07-13 13:45:00",229858,13.22,0.718,18.5,1,0.968,0.25
"2021-07-13 14:00:00",229859,13.21,0.716,18.75,1,0.966,0.25
"2021-07-13 14:15:00",229860,13.21,0.716,18.98,1,0.965,0.25
"2021-07-13 14:30:00",229861,13.21,0.715,19.2,1,0.965,0.25
"2021-07-13 14:45:00",229862,13.19,0.716,19.36,1,0.966,0.25
"2021-07-13 15:00:00",229863,13.19,0.714,19.51,1,0.964,0.25
"2021-07-13 15:15:00",229864,13.18,0.714,19.64,1,0.963,0.25
"2021-07-13 15:30:00",229865,13.18,0.714,19.75,1,0.963,0.25
"2021-07-13 15:45:00",229866,13.18,0.712,19.82,1,0.962,0.25
"2021-07-13 16:00:00",229867,13.17,0.712,19.85,1,0.962,0.25
"2021-07-13 16:15:00",229868,13.17,0.711,19.87,1,0.961,0.25
"2021-07-13 16:30:00",229869,13.17,0.711,19.85,1,0.961,0.25
"2021-07-13 16:45:00",229870,13.17,0.708,19.83,1,0.957,0.25
"2021-07-13 17:00:00",229871,13.15,0.707,19.81,1,0.956,0.25
"2021-07-13 17:15:00",229872,13.17,0.706,19.76,1,0.956,0.25
"2021-07-13 17:30:00",229873,13.18,0.706,19.69,1,0.956,0.25
"2021-07-13 17:45:00",229874,13.19,0.703,19.62,1,0.952,0.25
"2021-07-13 18:00:00",229875,13.19,0.704,19.53,1,0.953,0.25
"2021-07-13 18:15:00",229876,13.18,0.703,19.43,1,0.953,0.25
"2021-07-13 18:30:00",229877,13.15,0.703,19.33,1,0.952,0.25
"2021-07-13 18:45:00",229878,13.12,0.702,19.23,1,0.951,0.25
"2021-07-13 19:00:00",229879,13.1,0.698,19.13,1,0.948,0.25
"2021-07-13 19:15:00",229880,13.08,0.698,19.03,1,0.947,0.25
"2021-07-13 19:30:00",229881,13.06,0.698,18.94,1,0.947,0.25
"2021-07-13 19:45:00",229882,13.04,0.696,18.85,1,0.946,0.25
"2021-07-13 20:00:00",229883,13.02,0.695,18.77,1,0.944,0.25
"2021-07-13 20:15:00",229884,13,0.694,18.69,1,0.944,0.25
"2021-07-13 20:30:00",229885,12.99,0.694,18.62,1,0.944,0.25
"2021-07-13 20:45:00",229886,12.97,0.693,18.53,1,0.943,0.25
"2021-07-13 21:00:00",229887,12.96,0.693,18.43,1,0.942,0.25
"2021-07-13 21:15:00",229888,12.94,0.693,18.34,1,0.942,0.25
"2021-07-13 21:30:00",229889,12.93,0.691,18.24,1,0.94,0.25
"2021-07-13 21:45:00",229890,12.92,0.691,18.12,1,0.94,0.25
"2021-07-13 22:00:00",229891,12.91,0.69,18.02,1,0.94,0.25
"2021-07-13 22:15:00",229892,12.89,0.69,17.92,1,0.939,0.25
"2021-07-13 22:30:00",229893,12.88,0.689,17.81,1,0.939,0.25
"2021-07-13 22:45:00",229894,12.87,0.689,17.71,1,0.938,0.25
"2021-07-13 23:00:00",229895,12.86,0.688,17.61,1,0.937,0.25
"2021-07-13 23:15:00",229896,12.84,0.688,17.5,1,0.938,0.25
"2021-07-13 23:30:00",229897,12.83,0.688,17.39,1,0.938,0.25
"2021-07-13 23:45:00",229898,12.82,0.689,17.28,1,0.939,0.25
"2021-07-14 00:00:00",229899,12.81,0.688,17.17,1,0.938,0.25
"2021-07-14 00:15:00",229900,12.8,0.688,17.05,1,0.938,0.25
"2021-07-14 00:30:00",229901,12.79,0.689,16.93,1,0.938,0.25
"2021-07-14 00:45:00",229902,12.77,0.689,16.81,1,0.938,0.25
"2021-07-14 01:00:00",229903,12.77,0.69,16.68,1,0.94,0.25
"2021-07-14 01:15:00",229904,12.76,0.69,16.56,1,0.94,0.25
"2021-07-14 01:30:00",229905,12.75,0.69,16.43,1,0.94,0.25
"2021-07-14 01:45:00",229906,12.74,0.691,16.31,1,0.94,0.25
"2021-07-14 02:00:00",229907,12.72,0.691,16.18,1,0.941,0.25
"2021-07-14 02:15:00",229908,12.71,0.692,16.06,1,0.941,0.25
"2021-07-14 02:30:00",229909,12.7,0.691,15.93,1,0.941,0.25
"2021-07-14 02:45:00",229910,12.7,0.692,15.81,1,0.942,0.25
"2021-07-14 03:00:00",229911,12.69,0.694,15.7,1,0.943,0.25
"2021-07-14 03:15:00",229912,12.68,0.694,15.57,1,0.944,0.25
"2021-07-14 03:30:00",229913,12.67,0.694,15.45,1,0.943,0.25
"2021-07-14 03:45:00",229914,12.66,0.694,15.34,1,0.943,0.25
"2021-07-14 04:00:00",229915,12.65,0.696,15.22,1,0.945,0.25
"2021-07-14 04:15:00",229916,12.64,0.696,15.11,1,0.946,0.25
"2021-07-14 04:30:00",229917,12.64,0.695,15,1,0.944,0.25
"2021-07-14 04:45:00",229918,12.63,0.697,14.89,1,0.947,0.25
"2021-07-14 05:00:00",229919,12.62,0.7,14.77,1,0.949,0.25
"2021-07-14 05:15:00",229920,12.61,0.699,14.66,1,0.949,0.25
"2021-07-14 05:30:00",229921,12.61,0.7,14.54,1,0.949,0.25
"2021-07-14 05:45:00",229922,12.6,0.7,14.43,1,0.95,0.25
"2021-07-14 06:00:00",229923,12.6,0.7,14.32,1,0.95,0.25
"2021-07-14 06:15:00",229924,12.59,0.702,14.22,1,0.952,0.25
"2021-07-14 06:30:00",229925,12.58,0.703,14.12,1,0.952,0.25
"2021-07-14 06:45:00",229926,12.58,0.702,14.02,1,0.952,0.25
"2021-07-14 07:00:00",229927,12.57,0.703,13.93,1,0.953,0.25
